Time,THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,4.072079E+03,1.958771E+03,2.495337E-01,1.370785E-01,4.073915E+03,1.379156E+03,2.496462E-01,9.651675E-02,3.646993E+03,0.000000E+00,2.235008E-01,0.000000E+00,3.646993E+03,0.000000E+00,2.235008E-01,0.000000E+00,3.649750E+03,1.063383E+02,2.236697E-01,7.442039E-03,2.057229E+03,1.396104E+04,1.260913E-01,9.771148E-01,4.073915E+03,1.583766E+03,2.496462E-01,1.108355E-01,3.075132E+03,2.061337E+03,1.884550E-01,1.442586E-01,3.075235E+03,1.645775E+03,1.884614E-01,1.151771E-01,3.075132E+03,1.300103E+03,1.884550E-01,9.098663E-02,6.028888E+03,5.097459E+03,3.695216E-01,3.567725E-01,3.649750E+03,0.000000E+00,2.236697E-01,0.000000E+00,8.918552E+03,1.343533E+04,5.465758E-01,9.402694E-01,4.072079E+03,1.226681E+03,2.495337E-01,8.584634E-02,3.075235E+03,1.435715E+03,1.884614E-01,1.004768E-01 
00:30:00,4.072094E+03,1.881658E+03,2.495346E-01,1.316815E-01,4.073930E+03,1.335125E+03,2.496471E-01,9.343482E-02,3.646999E+03,0.000000E+00,2.235011E-01,0.000000E+00,3.646999E+03,0.000000E+00,2.235011E-01,0.000000E+00,3.649756E+03,5.822418E+01,2.236701E-01,4.074781E-03,2.057240E+03,1.392663E+04,1.260920E-01,9.746929E-01,4.073930E+03,1.528004E+03,2.496471E-01,1.069326E-01,3.075142E+03,1.986471E+03,1.884557E-01,1.390186E-01,3.075245E+03,1.596361E+03,1.884620E-01,1.117182E-01,3.075142E+03,1.270391E+03,1.884557E-01,8.890650E-02,6.028895E+03,5.051134E+03,3.695220E-01,3.535271E-01,3.649756E+03,0.000000E+00,2.236701E-01,0.000000E+00,8.918594E+03,1.334820E+04,5.465783E-01,9.341615E-01,4.072094E+03,1.193806E+03,2.495346E-01,8.354516E-02,3.075245E+03,1.402682E+03,1.884620E-01,9.816425E-02 
00:45:00,4.072108E+03,1.807969E+03,2.495355E-01,1.265244E-01,4.073944E+03,1.292986E+03,2.496480E-01,9.048554E-02,3.647005E+03,0.000000E+00,2.235015E-01,0.000000E+00,3.647005E+03,0.000000E+00,2.235015E-01,0.000000E+00,3.649761E+03,2.464770E+01,2.236704E-01,1.724950E-03,2.057251E+03,1.389187E+04,1.260927E-01,9.722495E-01,4.073944E+03,1.474528E+03,2.496480E-01,1.031900E-01,3.075152E+03,1.915336E+03,1.884563E-01,1.340400E-01,3.075255E+03,1.549608E+03,1.884626E-01,1.084458E-01,3.075152E+03,1.240708E+03,1.884563E-01,8.682866E-02,6.028900E+03,5.005329E+03,3.695224E-01,3.503184E-01,3.649761E+03,0.000000E+00,2.236704E-01,0.000000E+00,8.918633E+03,1.326220E+04,5.465806E-01,9.281357E-01,4.072108E+03,1.163203E+03,2.495355E-01,8.140313E-02,3.075255E+03,1.371551E+03,1.884626E-01,9.598509E-02 
01:00:00,4.072121E+03,1.737530E+03,2.495363E-01,1.215948E-01,4.073957E+03,1.252776E+03,2.496488E-01,8.767133E-02,3.647010E+03,0.000000E+00,2.235018E-01,0.000000E+00,3.647010E+03,0.000000E+00,2.235018E-01,0.000000E+00,3.649766E+03,4.882525E+00,2.236707E-01,3.416991E-04,2.057262E+03,1.385673E+04,1.260934E-01,9.697822E-01,4.073957E+03,1.423276E+03,2.496488E-01,9.960306E-02,3.075162E+03,1.847745E+03,1.884569E-01,1.293095E-01,3.075265E+03,1.505497E+03,1.884632E-01,1.053585E-01,3.075162E+03,1.211088E+03,1.884569E-01,8.475541E-02,6.028906E+03,4.959803E+03,3.695227E-01,3.471296E-01,3.649766E+03,0.000000E+00,2.236707E-01,0.000000E+00,8.918668E+03,1.317737E+04,5.465828E-01,9.221936E-01,4.072121E+03,1.133975E+03,2.495363E-01,7.935740E-02,3.075265E+03,1.340968E+03,1.884632E-01,9.384436E-02 
01:15:00,4.072134E+03,1.672868E+03,2.495370E-01,1.170696E-01,4.073970E+03,1.217222E+03,2.496495E-01,8.518303E-02,3.647014E+03,0.000000E+00,2.235020E-01,0.000000E+00,3.647014E+03,0.000000E+00,2.235020E-01,0.000000E+00,3.649771E+03,0.000000E+00,2.236710E-01,0.000000E+00,2.057273E+03,1.383679E+04,1.260941E-01,9.683796E-01,4.073970E+03,1.376859E+03,2.496495E-01,9.635462E-02,3.075171E+03,1.786063E+03,1.884574E-01,1.249927E-01,3.075274E+03,1.466590E+03,1.884637E-01,1.026354E-01,3.075171E+03,1.184056E+03,1.884574E-01,8.286337E-02,6.028910E+03,4.931040E+03,3.695230E-01,3.451142E-01,3.649771E+03,0.000000E+00,2.236710E-01,0.000000E+00,8.918701E+03,1.311062E+04,5.465848E-01,9.175174E-01,4.072134E+03,1.107466E+03,2.495370E-01,7.750204E-02,3.075274E+03,1.313360E+03,1.884637E-01,9.191200E-02 
01:30:00,4.072145E+03,1.611896E+03,2.495377E-01,1.128025E-01,4.073981E+03,1.184506E+03,2.496502E-01,8.289335E-02,3.647018E+03,0.000000E+00,2.235023E-01,0.000000E+00,3.647018E+03,0.000000E+00,2.235023E-01,0.000000E+00,3.649775E+03,0.000000E+00,2.236712E-01,0.000000E+00,2.057284E+03,1.381701E+04,1.260947E-01,9.669893E-01,4.073981E+03,1.333277E+03,2.496502E-01,9.330451E-02,3.075179E+03,1.728194E+03,1.884579E-01,1.209427E-01,3.075282E+03,1.431376E+03,1.884643E-01,1.001708E-01,3.075179E+03,1.157832E+03,1.884579E-01,8.102790E-02,6.028915E+03,4.903120E+03,3.695233E-01,3.431581E-01,3.649775E+03,0.000000E+00,2.236712E-01,0.000000E+00,8.918733E+03,1.304679E+04,5.465867E-01,9.130467E-01,4.072145E+03,1.081074E+03,2.495377E-01,7.565492E-02,3.075282E+03,1.286036E+03,1.884643E-01,8.999954E-02 
01:45:00,4.072156E+03,1.554501E+03,2.495384E-01,1.087858E-01,4.073992E+03,1.154861E+03,2.496509E-01,8.081860E-02,3.647022E+03,0.000000E+00,2.235025E-01,0.000000E+00,3.647022E+03,0.000000E+00,2.235025E-01,0.000000E+00,3.649778E+03,0.000000E+00,2.236714E-01,0.000000E+00,2.057294E+03,1.379701E+04,1.260953E-01,9.655846E-01,4.073992E+03,1.292515E+03,2.496509E-01,9.045185E-02,3.075187E+03,1.674017E+03,1.884584E-01,1.171510E-01,3.075290E+03,1.398911E+03,1.884648E-01,9.789851E-02,3.075187E+03,1.132477E+03,1.884584E-01,7.925336E-02,6.028919E+03,4.875465E+03,3.695235E-01,3.412207E-01,3.649778E+03,0.000000E+00,2.236714E-01,0.000000E+00,8.918762E+03,1.298579E+04,5.465885E-01,9.087753E-01,4.072156E+03,1.054253E+03,2.495384E-01,7.377789E-02,3.075290E+03,1.258741E+03,1.884648E-01,8.808926E-02 
02:00:00,4.072167E+03,1.500602E+03,2.495391E-01,1.050139E-01,4.074003E+03,1.128391E+03,2.496516E-01,7.896610E-02,3.647025E+03,0.000000E+00,2.235027E-01,0.000000E+00,3.647025E+03,0.000000E+00,2.235027E-01,0.000000E+00,3.649782E+03,0.000000E+00,2.236717E-01,0.000000E+00,2.057304E+03,1.377668E+04,1.260960E-01,9.641583E-01,4.074003E+03,1.254596E+03,2.496516E-01,8.779817E-02,3.075195E+03,1.623444E+03,1.884589E-01,1.136117E-01,3.075298E+03,1.369174E+03,1.884652E-01,9.581733E-02,3.075195E+03,1.108056E+03,1.884589E-01,7.754424E-02,6.028922E+03,4.847907E+03,3.695238E-01,3.392904E-01,3.649782E+03,0.000000E+00,2.236717E-01,0.000000E+00,8.918789E+03,1.292766E+04,5.465901E-01,9.047050E-01,4.072167E+03,1.027539E+03,2.495391E-01,7.190843E-02,3.075298E+03,1.232496E+03,1.884652E-01,8.625248E-02 
02:15:00,4.072177E+03,1.449541E+03,2.495397E-01,1.014405E-01,4.074013E+03,1.103124E+03,2.496522E-01,7.719778E-02,3.647029E+03,0.000000E+00,2.235029E-01,0.000000E+00,3.647029E+03,0.000000E+00,2.235029E-01,0.000000E+00,3.649785E+03,0.000000E+00,2.236718E-01,0.000000E+00,2.057314E+03,1.375590E+04,1.260966E-01,9.627015E-01,4.074013E+03,1.218990E+03,2.496522E-01,8.530632E-02,3.075203E+03,1.575989E+03,1.884594E-01,1.102907E-01,3.075306E+03,1.341373E+03,1.884657E-01,9.387164E-02,3.075203E+03,1.084201E+03,1.884594E-01,7.587475E-02,6.028926E+03,4.820416E+03,3.695240E-01,3.373649E-01,3.649785E+03,0.000000E+00,2.236718E-01,0.000000E+00,8.918816E+03,1.287115E+04,5.465917E-01,9.007486E-01,4.072177E+03,1.001308E+03,2.495397E-01,7.007278E-02,3.075306E+03,1.206831E+03,1.884657E-01,8.445634E-02 
02:30:00,4.072186E+03,1.401243E+03,2.495402E-01,9.806054E-02,4.074022E+03,1.077861E+03,2.496527E-01,7.542981E-02,3.647032E+03,0.000000E+00,2.235031E-01,0.000000E+00,3.647032E+03,0.000000E+00,2.235031E-01,0.000000E+00,3.649788E+03,0.000000E+00,2.236720E-01,0.000000E+00,2.057324E+03,1.373471E+04,1.260972E-01,9.612165E-01,4.074022E+03,1.185797E+03,2.496527E-01,8.298342E-02,3.075210E+03,1.531605E+03,1.884598E-01,1.071845E-01,3.075313E+03,1.314168E+03,1.884662E-01,9.196770E-02,3.075210E+03,1.060939E+03,1.884598E-01,7.424674E-02,6.028929E+03,4.793019E+03,3.695242E-01,3.354462E-01,3.649788E+03,0.000000E+00,2.236720E-01,0.000000E+00,8.918840E+03,1.281631E+04,5.465932E-01,8.969098E-01,4.072186E+03,9.758308E+02,2.495402E-01,6.828990E-02,3.075313E+03,1.181955E+03,1.884662E-01,8.271545E-02 
